app,sched,plat_size,wildmetric,step_time
leanmd,Distributed,128,10,136.620045
leanmd,Distributed,128,10,355.273962
leanmd,Distributed,128,10,74.471951
leanmd,Distributed,128,10,424.242973
leanmd,Distributed,128,10,177.685976
leanmd,Distributed,128,10,483.939886
leanmd,Distributed,128,10,203.022957
leanmd,Distributed,128,10,331.886053
leanmd,Distributed,128,10,132.961988
leanmd,Distributed,128,10,409.511089
leanmd,Distributed,128,10,134.260893
leanmd,Distributed,128,10,355.981112
leanmd,Distributed,128,10,154.395819
leanmd,Distributed,128,10,353.112936
leanmd,Distributed,128,10,173.402071
leanmd,Distributed,128,10,493.615866
leanmd,Distributed,128,10,206.680059
leanmd,Distributed,128,10,332.098961
leanmd,Distributed,128,10,161.266088
leanmd,Distributed,128,10,369.329214
leanmd,Distributed,128,10,143.189907
leanmd,Distributed,128,10,340.250015
leanmd,Distributed,128,10,80.309868
leanmd,Distributed,128,10,399.464846
leanmd,Distributed,128,10,172.904968
leanmd,Distributed,128,10,495.938063
leanmd,Distributed,128,10,200.523138
leanmd,Distributed,128,10,334.629059
leanmd,Distributed,128,10,144.388914
leanmd,Distributed,128,10,382.824898
leanmd,Distributed,128,10,145.588875
leanmd,Distributed,128,10,350.589991
leanmd,Distributed,128,10,177.003860
leanmd,Distributed,128,10,599.279165
leanmd,Distributed,128,10,494.473934
leanmd,Distributed,128,10,433.753967
leanmd,Distributed,128,10,259.752989
leanmd,Distributed,128,10,292.185783
leanmd,Distributed,128,10,196.501970
leanmd,Distributed,128,10,206.322908
leanmd,Distributed,128,10,171.376944
leanmd,Distributed,128,10,166.246891
leanmd,Distributed,128,10,193.187952
leanmd,Distributed,128,10,393.239975
leanmd,Distributed,128,10,256.350040
leanmd,Distributed,128,10,236.706972
leanmd,Distributed,128,10,260.298014
leanmd,Distributed,128,10,430.696964
leanmd,Distributed,128,10,217.998028
leanmd,Distributed,128,10,371.557951
leanmd,Distributed,128,10,142.563820
leanmd,Distributed,128,10,351.480961
leanmd,Distributed,128,10,167.347193
leanmd,Distributed,128,10,285.470009
leanmd,Distributed,128,10,222.457886
leanmd,Distributed,128,10,527.859926
leanmd,Distributed,128,10,173.707962
leanmd,Distributed,128,10,350.847006
leanmd,Distributed,128,10,132.863998
leanmd,Distributed,128,10,384.891033
leanmd,Distributed,128,10,127.667904
leanmd,Distributed,128,10,352.243185
leanmd,Distributed,128,10,121.508121
leanmd,Distributed,128,10,387.527943
leanmd,Distributed,128,10,164.927006
leanmd,Distributed,128,10,516.111851
leanmd,Distributed,128,10,180.454016
leanmd,Distributed,128,10,333.590031
leanmd,Distributed,128,10,153.290987
leanmd,Distributed,128,10,392.716885
leanmd,Distributed,128,10,122.852087
leanmd,Distributed,128,10,351.800919
leanmd,Distributed,128,10,143.161058
leanmd,Distributed,128,10,359.345913
leanmd,Distributed,128,10,171.432972
leanmd,Distributed,128,10,491.277933
leanmd,Distributed,128,10,193.788052
leanmd,Distributed,128,10,297.595024
leanmd,Distributed,128,10,186.708927
leanmd,Distributed,128,10,411.324978
leanmd,Distributed,128,10,133.417845
leanmd,Distributed,128,10,339.193106
leanmd,Distributed,128,10,84.740162
leanmd,Distributed,128,10,415.231943
leanmd,Distributed,128,10,169.943810
leanmd,Distributed,128,10,505.823851
leanmd,Distributed,128,10,183.832884
leanmd,Distributed,128,10,359.385014
leanmd,Distributed,128,10,122.732878
leanmd,Distributed,128,10,396.896124
leanmd,Distributed,128,10,144.366026
leanmd,Distributed,128,10,343.671083
leanmd,Distributed,128,10,160.785913
leanmd,Distributed,128,10,358.081102
leanmd,Distributed,128,10,161.398172
leanmd,Distributed,128,10,506.382942
leanmd,Distributed,128,10,177.921057
leanmd,Distributed,128,10,354.387045
leanmd,Distributed,128,10,145.469904
leanmd,Distributed,128,10,399.561882
leanmd,Distributed,128,10,123.780012
leanmd,Distributed,128,10,348.697901
leanmd,Distributed,128,10,94.197989
leanmd,Distributed,128,10,409.806013
leanmd,Distributed,128,10,162.467003
leanmd,Distributed,128,10,498.004913
leanmd,Distributed,128,10,191.745043
leanmd,Distributed,128,10,359.686136
leanmd,Distributed,128,10,142.549038
leanmd,Distributed,128,10,434.782028
leanmd,Distributed,128,10,119.895935
leanmd,Distributed,128,10,317.953825
leanmd,Distributed,128,10,150.068998
leanmd,Distributed,128,10,275.458097
leanmd,Distributed,128,10,250.768185
leanmd,Distributed,128,10,528.233051
leanmd,Distributed,128,10,169.699192
leanmd,Distributed,128,10,359.187841
leanmd,Distributed,128,10,126.109123
leanmd,Distributed,128,10,385.861874
leanmd,Distributed,128,10,125.682116
leanmd,Distributed,128,10,374.367952
leanmd,Distributed,128,10,77.009201
leanmd,Distributed,128,10,334.985018
leanmd,Distributed,128,10,260.843992
leanmd,Distributed,128,10,510.166168
leanmd,Distributed,128,10,182.290077
leanmd,Distributed,128,10,333.050966
leanmd,Distributed,128,10,143.219948
leanmd,Distributed,128,10,391.731977
leanmd,Distributed,128,10,124.503136
leanmd,Distributed,128,10,385.743856
leanmd,Distributed,128,10,168.517113
leanmd,Distributed,128,10,449.872971
leanmd,Distributed,128,10,608.662128
leanmd,Distributed,128,10,487.796068
leanmd,Distributed,128,10,237.113953
leanmd,Distributed,128,10,243.346214
leanmd,Distributed,128,10,219.357014
leanmd,Distributed,128,10,196.824074
leanmd,Distributed,128,10,166.988134
leanmd,Distributed,128,10,166.329145
leanmd,Distributed,128,10,214.601040
leanmd,Distributed,128,10,395.677090
leanmd,Distributed,128,10,242.735147
leanmd,Distributed,128,10,250.046968
leanmd,Distributed,128,10,278.380156
leanmd,Distributed,128,10,441.624880
leanmd,Distributed,128,10,225.826025
leanmd,Distributed,128,10,313.408852
leanmd,Distributed,128,10,184.853077
leanmd,Distributed,128,10,350.134850
leanmd,Distributed,128,10,151.268005
leanmd,Distributed,128,10,349.503994
leanmd,Distributed,128,10,171.566010
leanmd,Distributed,128,10,486.360073
leanmd,Distributed,128,10,251.313925
leanmd,Distributed,128,10,289.095879
leanmd,Distributed,128,10,176.356792
leanmd,Distributed,128,10,367.066860
leanmd,Distributed,128,10,169.492960
leanmd,Distributed,128,10,317.138195
leanmd,Distributed,128,10,118.412971
leanmd,Distributed,128,10,370.765209
leanmd,Distributed,128,10,161.883116
leanmd,Distributed,128,10,550.935030
leanmd,Distributed,128,10,177.065849
leanmd,Distributed,128,10,365.334988
leanmd,Distributed,128,10,122.256994
leanmd,Distributed,128,10,351.515055
leanmd,Distributed,128,10,156.786919
leanmd,Distributed,128,10,357.367992
leanmd,Distributed,128,10,127.058983
leanmd,Distributed,128,10,341.305971
leanmd,Distributed,128,10,167.798042
leanmd,Distributed,128,10,534.710884
leanmd,Distributed,128,10,179.546833
leanmd,Distributed,128,10,340.594053
leanmd,Distributed,128,10,149.107933
leanmd,Distributed,128,10,400.424957
leanmd,Distributed,128,10,125.150919
leanmd,Distributed,128,10,336.934090
leanmd,Distributed,128,10,109.902859
leanmd,Distributed,128,10,373.194933
leanmd,Distributed,128,10,162.583113
leanmd,Distributed,128,10,522.490025
leanmd,Distributed,128,10,187.687874
leanmd,Distributed,128,10,350.124121
leanmd,Distributed,128,10,143.506050
leanmd,Distributed,128,10,358.597994
leanmd,Distributed,128,10,153.043032
leanmd,Distributed,128,10,369.446039
leanmd,Distributed,128,10,139.612913
leanmd,Distributed,128,10,339.642048
leanmd,Distributed,128,10,149.034023
leanmd,Distributed,128,10,504.094124
leanmd,Distributed,128,10,191.547871
leanmd,Distributed,128,10,355.067968
leanmd,Distributed,128,10,144.726038
leanmd,Distributed,128,10,389.880896
leanmd,Distributed,128,10,142.055988
leanmd,Distributed,128,10,335.039139
leanmd,Distributed,128,10,123.651981
leanmd,Distributed,128,10,376.549959
leanmd,Distributed,128,10,163.889885
leanmd,Distributed,128,10,548.991203
leanmd,Distributed,128,10,178.632975
leanmd,Distributed,128,10,347.123146
leanmd,Distributed,128,10,129.055023
leanmd,Distributed,128,10,386.148930
leanmd,Distributed,128,10,138.794184
leanmd,Distributed,128,10,337.929964
leanmd,Distributed,128,10,162.209988
leanmd,Distributed,128,10,349.569082
leanmd,Distributed,128,10,163.084984
leanmd,Distributed,128,10,454.212904
leanmd,Distributed,128,10,171.524048
leanmd,Distributed,128,10,407.353163
leanmd,Distributed,128,10,172.555923
leanmd,Distributed,128,10,371.779919
leanmd,Distributed,128,10,145.572901
leanmd,Distributed,128,10,356.813908
leanmd,Distributed,128,10,87.781906
leanmd,Distributed,128,10,389.629126
leanmd,Distributed,128,10,170.811892
leanmd,Distributed,128,10,517.207146
leanmd,Distributed,128,10,189.133167
leanmd,Distributed,128,10,324.212074
leanmd,Distributed,128,10,163.738012
leanmd,Distributed,128,10,387.348890
leanmd,Distributed,128,10,125.123024
leanmd,Distributed,128,10,365.748882
leanmd,Distributed,128,10,176.437140
leanmd,Distributed,128,10,655.420065
leanmd,Distributed,128,10,428.537846
leanmd,Distributed,128,10,417.278051
leanmd,Distributed,128,10,259.061098
leanmd,Distributed,128,10,224.230051
leanmd,Distributed,128,10,204.612017
leanmd,Distributed,128,10,197.930098
leanmd,Distributed,128,10,190.014839
leanmd,Distributed,128,10,180.735111
leanmd,Distributed,128,10,243.156195
leanmd,Distributed,128,10,395.457029
leanmd,Distributed,128,10,251.235008
leanmd,Distributed,128,10,237.776041
leanmd,Distributed,128,10,259.761810
leanmd,Distributed,128,10,339.271069
leanmd,Distributed,128,10,242.713928
leanmd,Distributed,128,10,335.805893
leanmd,Distributed,128,10,239.849091
leanmd,Distributed,128,10,305.768967
leanmd,Distributed,128,10,177.484035
leanmd,Distributed,128,10,388.357878
leanmd,Distributed,128,10,209.894896
leanmd,Distributed,128,10,410.559177
leanmd,Distributed,128,10,201.418877
leanmd,Distributed,128,10,348.974943
leanmd,Distributed,128,10,132.348061
leanmd,Distributed,128,10,417.737007
leanmd,Distributed,128,10,141.165018
leanmd,Distributed,128,10,342.441082
leanmd,Distributed,128,10,89.688063
leanmd,Distributed,128,10,402.227163
leanmd,Distributed,128,10,173.036098
leanmd,Distributed,128,10,427.930117
leanmd,Distributed,128,10,220.675945
leanmd,Distributed,128,10,361.805916
leanmd,Distributed,128,10,159.553051
leanmd,Distributed,128,10,365.010023
leanmd,Distributed,128,10,156.086922
leanmd,Distributed,128,10,351.454973
leanmd,Distributed,128,10,143.250942
leanmd,Distributed,128,10,355.870008
leanmd,Distributed,128,10,165.832996
leanmd,Distributed,128,10,394.119978
leanmd,Distributed,128,10,279.684067
leanmd,Distributed,128,10,327.237844
leanmd,Distributed,128,10,179.894924
leanmd,Distributed,128,10,376.102209
leanmd,Distributed,128,10,151.726961
leanmd,Distributed,128,10,327.605963
leanmd,Distributed,128,10,86.723804
leanmd,Distributed,128,10,426.775932
leanmd,Distributed,128,10,168.582916
leanmd,Distributed,128,10,488.771915
leanmd,Distributed,128,10,197.243214
leanmd,Distributed,128,10,344.105959
leanmd,Distributed,128,10,149.609804
leanmd,Distributed,128,10,409.857035
leanmd,Distributed,128,10,129.631042
leanmd,Distributed,128,10,304.976940
leanmd,Distributed,128,10,161.610126
leanmd,Distributed,128,10,385.349035
leanmd,Distributed,128,10,133.912086
leanmd,Distributed,128,10,408.050060
leanmd,Distributed,128,10,267.005920
leanmd,Distributed,128,10,335.951805
leanmd,Distributed,128,10,163.493156
leanmd,Distributed,128,10,406.649113
leanmd,Distributed,128,10,129.903078
leanmd,Distributed,128,10,315.175056
leanmd,Distributed,128,10,117.949963
leanmd,Distributed,128,10,390.015125
leanmd,Distributed,128,10,166.030884
leanmd,Distributed,128,10,480.304003
leanmd,Distributed,128,10,207.390070
leanmd,Distributed,128,10,295.758963
leanmd,Distributed,128,10,186.918974
leanmd,Distributed,128,10,388.092995
leanmd,Distributed,128,10,140.721083
leanmd,Distributed,128,10,327.484846
leanmd,Distributed,128,10,150.461197
