sched,app,step_time
distributed,leanmd,1978.995800
distributed,leanmd,1641.944885
distributed,leanmd,1527.553082
distributed,leanmd,682.826996
distributed,leanmd,1706.646204
distributed,leanmd,802.181959
distributed,leanmd,1986.854076
distributed,leanmd,532.522202
distributed,leanmd,1837.581873
distributed,leanmd,933.187008
distributed,leanmd,1366.185904
distributed,leanmd,649.446011
distributed,leanmd,2278.914928
distributed,leanmd,480.191946
distributed,leanmd,1655.719995
distributed,leanmd,252.587080
distributed,leanmd,1513.808012
distributed,leanmd,685.781956
distributed,leanmd,1617.933035
distributed,leanmd,608.685970
distributed,leanmd,1214.165926
distributed,leanmd,551.284075
distributed,leanmd,1550.874949
distributed,leanmd,678.483009
distributed,leanmd,1835.728884
distributed,leanmd,109.352827
distributed,leanmd,1655.725956
distributed,leanmd,467.072964
distributed,leanmd,1296.042919
distributed,leanmd,589.623928
distributed,leanmd,1824.457169
distributed,leanmd,192.343950
distributed,leanmd,1928.044081
distributed,leanmd,398.303032
distributed,leanmd,1297.667980
distributed,leanmd,644.977093
distributed,leanmd,1523.986101
distributed,leanmd,650.537968
distributed,leanmd,1403.263092
distributed,leanmd,502.840996
distributed,leanmd,1513.657093
distributed,leanmd,437.360048
distributed,leanmd,1754.878998
distributed,leanmd,431.802034
distributed,leanmd,1591.418028
distributed,leanmd,391.518116
distributed,leanmd,1435.611963
distributed,leanmd,647.960901
distributed,leanmd,1596.626997
distributed,leanmd,179.094076
distributed,leanmd,1835.612059
distributed,leanmd,327.564001
distributed,leanmd,2049.558878
distributed,leanmd,254.565001
distributed,leanmd,1616.569996
distributed,leanmd,360.248804
distributed,leanmd,1249.242067
distributed,leanmd,766.494989
distributed,leanmd,1476.956129
distributed,leanmd,502.654076
distributed,leanmd,1732.843161
distributed,leanmd,364.207983
distributed,leanmd,1539.163828
distributed,leanmd,755.350828
distributed,leanmd,1833.951950
distributed,leanmd,541.245937
distributed,leanmd,1477.442980
distributed,leanmd,323.169947
distributed,leanmd,1630.975008
distributed,leanmd,206.080914
distributed,leanmd,1652.842045
distributed,leanmd,343.018055
distributed,leanmd,1653.912067
distributed,leanmd,723.295927
distributed,leanmd,1648.227930
distributed,leanmd,326.037884
distributed,leanmd,1078.794003
distributed,leanmd,789.677858
distributed,leanmd,1874.501944
distributed,leanmd,321.409941
distributed,leanmd,1547.092915
distributed,leanmd,542.201996
distributed,leanmd,2782.388926
distributed,leanmd,1534.556150
