app,sched,plat_size,wildmetric,step_time
leanmd,Distributed,128,30,152.120113
leanmd,Distributed,128,30,117.887020
leanmd,Distributed,128,30,156.458139
leanmd,Distributed,128,30,125.307083
leanmd,Distributed,128,30,149.801970
leanmd,Distributed,128,30,148.638964
leanmd,Distributed,128,30,143.254995
leanmd,Distributed,128,30,114.691019
leanmd,Distributed,128,30,172.954082
leanmd,Distributed,128,30,122.121096
leanmd,Distributed,128,30,160.824060
leanmd,Distributed,128,30,147.702932
leanmd,Distributed,128,30,171.633005
leanmd,Distributed,128,30,135.260105
leanmd,Distributed,128,30,154.334068
leanmd,Distributed,128,30,104.570866
leanmd,Distributed,128,30,168.735981
leanmd,Distributed,128,30,266.941071
leanmd,Distributed,128,30,48.687935
leanmd,Distributed,128,30,101.463079
leanmd,Distributed,128,30,155.746937
leanmd,Distributed,128,30,130.221844
leanmd,Distributed,128,30,140.676975
leanmd,Distributed,128,30,180.155039
leanmd,Distributed,128,30,126.188040
leanmd,Distributed,128,30,174.530983
leanmd,Distributed,128,30,125.546932
leanmd,Distributed,128,30,117.078066
leanmd,Distributed,128,30,156.193018
leanmd,Distributed,128,30,135.611057
leanmd,Distributed,128,30,128.626823
leanmd,Distributed,128,30,140.963793
leanmd,Distributed,128,30,157.125950
leanmd,Distributed,128,30,129.103184
leanmd,Distributed,128,30,152.041197
leanmd,Distributed,128,30,132.402897
leanmd,Distributed,128,30,163.894892
leanmd,Distributed,128,30,111.685991
leanmd,Distributed,128,30,175.384998
leanmd,Distributed,128,30,136.374950
leanmd,Distributed,128,30,177.776814
leanmd,Distributed,128,30,140.265942
leanmd,Distributed,128,30,95.987797
leanmd,Distributed,128,30,134.621859
leanmd,Distributed,128,30,97.808838
leanmd,Distributed,128,30,166.279793
leanmd,Distributed,128,30,114.343166
leanmd,Distributed,128,30,210.841894
leanmd,Distributed,128,30,37.575006
leanmd,Distributed,128,30,110.629797
leanmd,Distributed,128,30,153.923035
leanmd,Distributed,128,30,113.682032
leanmd,Distributed,128,30,180.612087
leanmd,Distributed,128,30,147.256136
leanmd,Distributed,128,30,140.069008
leanmd,Distributed,128,30,126.486063
leanmd,Distributed,128,30,131.479025
leanmd,Distributed,128,30,133.749962
leanmd,Distributed,128,30,171.303034
leanmd,Distributed,128,30,131.453037
leanmd,Distributed,128,30,124.550104
leanmd,Distributed,128,30,150.737047
leanmd,Distributed,128,30,130.152941
leanmd,Distributed,128,30,138.943911
leanmd,Distributed,128,30,123.986006
leanmd,Distributed,128,30,123.072147
leanmd,Distributed,128,30,179.404020
leanmd,Distributed,128,30,174.266815
leanmd,Distributed,128,30,160.386086
leanmd,Distributed,128,30,114.121914
leanmd,Distributed,128,30,124.001980
leanmd,Distributed,128,30,121.119976
leanmd,Distributed,128,30,187.690020
