app,sched,plat_size,wildmetric,sched_time
lb_test,Greedy,1142,Ring,1.485736
lb_test,Greedy,1142,Ring,0.058457
lb_test,Greedy,1142,Ring,1.433064
lb_test,Greedy,1142,Ring,0.059084
lb_test,Greedy,1142,Ring,0.851863
lb_test,Greedy,1142,Ring,0.056437
lb_test,Greedy,1142,Ring,1.781032
lb_test,Greedy,1142,Ring,0.058519
lb_test,Greedy,1142,Ring,1.387017
lb_test,Greedy,1142,Ring,0.059196
lb_test,Greedy,1142,Ring,1.130613
lb_test,Greedy,1142,Ring,0.056702
lb_test,Greedy,1142,Ring,1.313089
lb_test,Greedy,1142,Ring,0.058837
lb_test,Greedy,1142,Ring,1.371780
lb_test,Greedy,1142,Ring,0.059704
lb_test,Greedy,1142,Ring,1.107436
lb_test,Greedy,1142,Ring,0.055936
lb_test,Greedy,1142,Ring,1.839717
lb_test,Greedy,1142,Ring,0.058217
lb_test,Greedy,1142,Ring,1.372895
lb_test,Greedy,1142,Ring,0.059254
lb_test,Greedy,1142,Ring,0.818732
lb_test,Greedy,1142,Ring,0.056782
lb_test,Greedy,1142,Ring,1.838569
lb_test,Greedy,1142,Ring,0.058341
lb_test,Greedy,1142,Ring,1.463472
lb_test,Greedy,1142,Ring,0.059404
lb_test,Greedy,1142,Ring,0.821167
lb_test,Greedy,1142,Ring,0.056472
lb_test,Greedy,1142,Ring,1.848700
lb_test,Greedy,1142,Ring,0.058719
lb_test,Greedy,1142,Ring,0.962478
lb_test,Greedy,1142,Ring,0.059514
lb_test,Greedy,1142,Ring,0.839285
lb_test,Greedy,1142,Ring,0.056411
lb_test,Greedy,1142,Ring,1.809836
lb_test,Greedy,1142,Ring,0.058099
lb_test,Greedy,1142,Ring,1.406831
lb_test,Greedy,1142,Ring,0.059184
lb_test,Greedy,1142,Ring,1.181602
lb_test,Greedy,1142,Ring,0.056160
lb_test,Greedy,1142,Ring,1.829006
lb_test,Greedy,1142,Ring,0.057628
lb_test,Greedy,1142,Ring,1.440784
lb_test,Greedy,1142,Ring,0.058805
lb_test,Greedy,1142,Ring,0.914453
lb_test,Greedy,1142,Ring,0.056243
lb_test,Greedy,1142,Ring,1.907720
lb_test,Greedy,1142,Ring,0.057590
lb_test,Greedy,1142,Ring,1.371303
lb_test,Greedy,1142,Ring,0.059082
